isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0373290497,0,"Highlander'S Maiden (Harlequin Historicals, No. 449)",Elizabeth Mayne,1999.0,Harlequin,http://images.amazon.com/images/P/0373290497.01.LZZZZZZZ.jpg,"The Highlander&#39;s Maiden by Elizabeth Mayne released on Dec 25,
1998 is available now for purchase.",en,['Fiction']
0373290500,0,"Hawken'S Wife (Harlequin Historicals, No. 450)",Rae Muir,1999.0,Harlequin,http://images.amazon.com/images/P/0373290500.01.LZZZZZZZ.jpg,"Hawken&#39;s Wife by Rae Muir released on Dec 25, 1998 is available
now for purchase.",en,['Fiction']
0373290519,0,"Joe'S Wife (Harlequin Historical, No. 451)",Cheryl St. John,1999.0,Harlequin,http://images.amazon.com/images/P/0373290519.01.LZZZZZZZ.jpg,"Joe&#39;s Wife by Cheryl St.John released on Jan 25, 1999 is available
now for purchase.",en,['Fiction']
0373290527,8,"My Lord Protector (Harlequin Historical, No. 452)",Deborah Hale,1999.0,Harlequin,http://images.amazon.com/images/P/0373290527.01.LZZZZZZZ.jpg,"My Lord Protector by Deborah Hale released on Jan 25, 1999 is
available now for purchase.",en,['Fiction']
0373290551,9,"Robber Bride (Harlequin Historical, No. 455)",Deborah Simmons,1999.0,Harlequin,http://images.amazon.com/images/P/0373290551.01.LZZZZZZZ.jpg,"Robber Bride by Deborah Simmons released on Feb 22, 1999 is available
now for purchase.",en,['Fiction']
037329056X,8,"Tender Stranger (Harlequin Historical, No. 456)",Carolyn Davidson,1999.0,Harlequin,http://images.amazon.com/images/P/037329056X.01.LZZZZZZZ.jpg,"The Tender Stranger by Carolyn Davidson released on Feb 22, 1999 is
available now for purchase.",en,['Fiction']
0373290578,10,"Rory (Harlequin Historical, No. 457)",Ruth Langan,1999.0,Harlequin,http://images.amazon.com/images/P/0373290578.01.LZZZZZZZ.jpg,"Rory by Ruth Langan released on Feb 22, 1999 is available now for
purchase.",en,['Fiction']
0373290586,10,"Father For Keeps (Harlequin Historical, No. 458)",Ana Seymour,1999.0,Harlequin,http://images.amazon.com/images/P/0373290586.01.LZZZZZZZ.jpg,"Father For Keeps by Ana Seymour released on Feb 22, 1999 is available
now for purchase.",en,['Fiction']
0373290594,9,"Welshman'S Bride (Harlequin Historical, No. 459)",Molly Moore,1999.0,Harlequin,http://images.amazon.com/images/P/0373290594.01.LZZZZZZZ.jpg,"The Welshman&#39;s Bride by Margaret Moore released on Mar 25, 1999 is
available now for purchase.",en,['Fiction']
0373290608,9,"Hunter Of My Heart (Harlequin Historical, No. 460)",Janet Kendall,1999.0,Harlequin,http://images.amazon.com/images/P/0373290608.01.LZZZZZZZ.jpg,"Hunter Of My Heart by Janet Kendall released on Mar 25, 1999 is
available now for purchase.",en,['Fiction']
0373290616,10,"Maggie And The Maverick (Harlequin Historical, No. 461)",Laurie Grant,1999.0,Harlequin,http://images.amazon.com/images/P/0373290616.01.LZZZZZZZ.jpg,"Maggie And The Maverick by Laurie Grant released on Mar 25, 1999 is
available now for purchase.",en,['Fiction']
0373290624,0,"Unlikely Wife (Harlequin Historical, No. 462)",James E. Austin,1999.0,Harlequin,http://images.amazon.com/images/P/0373290624.01.LZZZZZZZ.jpg,"The Unlikely Wife by Cassandra Austin released on Mar 25, 1999 is
available now for purchase.",en,['Fiction']
0373290632,5,"Taming The Lion (The Sutherland Series) (Harlequin Historical, No. 463)",Suzanne Barclay,1999.0,Harlequin,http://images.amazon.com/images/P/0373290632.01.LZZZZZZZ.jpg,"Taming The Lion by Suzanne Barclay released on Apr 23, 1999 is
available now for purchase.",en,['Fiction']
