isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0679833722,10,Dogs Don't Tell Jokes,LOUIS SACHAR,1992.0,Yearling,http://images.amazon.com/images/P/0679833722.01.LZZZZZZZ.jpg,"Twelve-year-old Gary, known as Goon because of his constant clowning
and joke-telling, tries to change his image and make new friends at
school.",en,['JUVENILE FICTION']
0679833730,0,"Nothing but Net (Angel Park Hoop Stars, Vol 1)",Dean Hughes,1992.0,Random House Children's Books,http://images.amazon.com/images/P/0679833730.01.LZZZZZZZ.jpg,"A black boy from Los Angeles has some trouble fitting in with the
twelve-and-under basketball team in his new, mostly white neighborhood
in Angel Park.",en,['Juvenile Fiction']
0679833749,0,"Point Guard (Angel Park Hoop Stars, Vol 2)",Dean Hughes,1992.0,Random House Childrens Books,http://images.amazon.com/images/P/0679833749.01.LZZZZZZZ.jpg,"Jackie Willis hopes to convince the coach of the basketball team in
Angel Park that she can play as well as the boys.",en,['Basketball stories']
0679833846,10,The Little Pumpkin Book (Chunky Shape Books),Katharine Ross,1992.0,Random House Books for Young Readers,http://images.amazon.com/images/P/0679833846.01.LZZZZZZZ.jpg,"Two children plant pumpkin seeds, watch the pumpkins grow and then
make jack-o-lanterns and pumpkin pie.",en,['Juvenile Fiction']
0679834583,0,"Tracking Thomas the Tank Engine and His Friends: A Book With Finger Tabs (Awdry, W. Railway Series.)",Ken Stott,1992.0,Random House Children's Books,http://images.amazon.com/images/P/0679834583.01.LZZZZZZZ.jpg,"Finger-tabs help the reader flip to the stories of Thomas&#39; race
with Bertie the bus, Henry&#39;s refusal to move, and Percy&#39;s
rescue after a flood put out his fire",en,['Behavior']
067983480X,0,Nadia the Willful (Dragonfly Books),Sue Alexander,1992.0,Random House Childrens Books,http://images.amazon.com/images/P/067983480X.01.LZZZZZZZ.jpg,"When her favorite brother disappears in the desert forever, Nadia
refuses to let him be forgotten, despite her father&#39;s bitter
decree that his name shall not be uttered.",en,['Arabs']
0679834869,0,Meet the Sesame Street Babies (Board Book),Anna Ross,1993.0,Random House Trade,http://images.amazon.com/images/P/0679834869.01.LZZZZZZZ.jpg,Introduces the characters as babies,en,['Juvenile Fiction']
0679836101,5,The Berenstain Bears and the Nerdy Nephew (A Big Chapter Book),Stan Berenstain,1993.0,Random House Children's Books,http://images.amazon.com/images/P/0679836101.01.LZZZZZZZ.jpg,"Brother and Sister Bear don&#39;t realize the problems they will face
when they agree to help Professor Actual Factual&#39;s super-smart
nephew fit in at school.",en,['Juvenile Fiction']
067983611X,7,The Berenstain Bears and the Female Fullback (Berenstain Bears Big Chapter Books),Stan Berenstain,1993.0,Random House Childrens Books,http://images.amazon.com/images/P/067983611X.01.LZZZZZZZ.jpg,"Word travels quickly when Bertha Broom, the new girl in town, signs up
for the football team and is turned down by the coach.",en,['Juvenile Fiction']
0679836128,0,The Berenstain Bears and the Drug Free Zone (Berenstain Bears Big Chapter Book),Stan Berenstain,1993.0,Random House Books for Young Readers,http://images.amazon.com/images/P/0679836128.01.LZZZZZZZ.jpg,"Brother and Sister Bear try to solve the mystery of how illegal drugs
are getting into their school.",en,['Juvenile Fiction']
