isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0441756824,0,Seaserpents!,Gardner Dozois,1989.0,Ace Books,http://images.amazon.com/images/P/0441756824.01.LZZZZZZZ.jpg,"This collection of tales about sea monsters and other creatures of the
ocean depths features works by Roger Zelazny, Larry Niven, Gordon R.
Dickson, and other notable writers",en,['Fiction']
0441756999,0,The Seas of Fortune,Simon McKay,1983.0,Ace Books,http://images.amazon.com/images/P/0441756999.01.LZZZZZZZ.jpg,"While on a dangerous steamship voyage, Penelope Meigs falls
passionately in love with the handsome Captain Edward Anderson despite
his marriage to another woman",en,['Fiction']
0441757227,0,Second Star,Dana Stabenow,1994.0,Ace Books,http://images.amazon.com/images/P/0441757227.01.LZZZZZZZ.jpg,"This story of the completion of an L-5 space colony describes the
obstacles faced during construction, such as the interference of
aliens and sabotage",en,['Fiction']
044175760X,4,Secret Generations,John Gardner,1986.0,Jove Books,http://images.amazon.com/images/P/044175760X.01.LZZZZZZZ.jpg,"From the advent of World War I to the rise of Nazi Germany, the
Railtons--a proud and aristocractic family of soliders, diplomats, and
civil servants--turn their talents and patriotism to the practice of
intelligence.",en,"['Bond, James (Fictitious character)']"
0441758835,0,The Senator's Daughter,Mary Bringle,1986.0,Diamond Books (NY),http://images.amazon.com/images/P/0441758835.01.LZZZZZZZ.jpg,"Charlotte Madigan, daughter of a powerful senator, finds her
glittering, pampered world of high-level politics shattered by the
shocking murder of her father at the hands of his mistress and the
ensuing scandal, disgrace, and desolation",en,['Fiction']
0441759122,6,The Serpent's Egg,Caroline Stevermer,1988.0,Ace Books,http://images.amazon.com/images/P/0441759122.01.LZZZZZZZ.jpg,"The members of Queen Andred&#39;s court attempt to convince her that
the Duke of Tilbury is treacherously plotting to take her kingdom from
her, but the Duke has two factors in his favor--the Queen&#39;s trust,
and the sorcery of a serpent&#39;s egg",en,['Fiction']
0441759556,6,The Seventh Swan,Nicholas Stuart Gray,1984.0,Ace Books,http://images.amazon.com/images/P/0441759556.01.LZZZZZZZ.jpg,"Transformed into swans by the evil spell of their stepmother, seven
brothers are restored to human form by their sister, but one brother
is left with one arm and one wing.",en,['Fantastic fiction.']
0441759734,9,The Seven Towers,Patricia C. Wrede,1984.0,Ace Books,http://images.amazon.com/images/P/0441759734.01.LZZZZZZZ.jpg,"Eltiron, Prince of Sevarin; Crystalorn, Princess of Barinash; Ranlyn,
the desert rider; Jermain, the outlaw; Vandaris, the soldier;
Carachel, the Wizard-King; and Amberglas, the sorceress.",en,"['Fantasy fiction, American']"
0441759890,5,Shadow,Anne Logston,1991.0,Ace Books,http://images.amazon.com/images/P/0441759890.01.LZZZZZZZ.jpg,"Shadow, a clever pickpocket with nimble fingers, begins to believe
that the slender silver bracelet she has stolen at the marketplace of
Allanmere carries a strange, evil magic",en,['Fiction']
0441759904,9,Shadow Dance,Anne Logston,1992.0,Ace Books,http://images.amazon.com/images/P/0441759904.01.LZZZZZZZ.jpg,"When the Crimson Plague leaves hundreds dead in the streets of
Allanmere, Shadow must lead a band of warriors into a horror-laden
swamp to find a cure. Original.",en,['Fiction']
