isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0140299939,10,World's End (Contemporary American Fiction),T. Coraghessan Boyle,1990.0,Penguin Books,http://images.amazon.com/images/P/0140299939.01.LZZZZZZZ.jpg,"Follows the interwoven destinies of three families: a family of
Indians, a family of lordly Dutch patroons, and a family of yeomen.",en,['Fiction']
0140299947,7,Descent of Man: Stories (Contemporary American Fiction),T. Coraghessan Boyle,1990.0,Penguin Books,http://images.amazon.com/images/P/0140299947.01.LZZZZZZZ.jpg,"A mad, hilarious collection of short stories, wherein Boyle offers his
unique view of dictators, animals, scientists, explorers, collectors,
teetotalers, and others.",en,['Fiction']
0140299963,0,Budding Prospects: A Pastoral (Contemporary American Fiction),T. Coraghessan Boyle,1990.0,Penguin Books,http://images.amazon.com/images/P/0140299963.01.LZZZZZZZ.jpg,"Felix is a quitter, with a poor track record behind him. Until the day
the opportunity presents itself to make half a million dollars tax-
free - by nurturing 390 acres of cannabis in the lonely hills of
northern California.",en,['Fiction']
0140300368,0,Treasure Island (Puffin Books),Robert Louis Stevenson,1946.0,Puffin Books,http://images.amazon.com/images/P/0140300368.01.LZZZZZZZ.jpg,"The epic tale of a young man&#39;s quest to capture a hidden treasure
on the open seas -- one of the best-loved adventure stories of all
time.",en,['Adventure stories']
0140301194,0,Tales of the Greek Heroes (Puffin Books),Roger Lancelyn Green,1958.0,Penguin Putnam~mass,http://images.amazon.com/images/P/0140301194.01.LZZZZZZZ.jpg,"Some of the oldest and most famous stories in the world -- the
adventures of Perseus, the labors of Hercules, the voyage of Jason and
the Argonauts -- are vividly retold in this single connected narrative
of the Heroic Age, from the coming ...",en,"['Mythology, Classical']"
0140301690,10,Alice's Adventures in Wonderland and Through the Looking Glass (Puffin Books),Lewis Carroll,1994.0,Puffin Books,http://images.amazon.com/images/P/0140301690.01.LZZZZZZZ.jpg,"First published in 1865, these endearing tales of an imaginative
child&#39;s dream world by Lewis Carroll, pen name for Charles
Lutwidge Dodgson, are written with charming simplicity.",en,['Fantasy']
0140301720,8,Children on the Oregon Trail (R200),Anna Rutgers van der Loeff,1963.0,Pearson Schools,http://images.amazon.com/images/P/0140301720.01.LZZZZZZZ.jpg,"A story based on the remarkable journey made by the Sager children
through the north-west of America in the pioneering days of 1844.",en,['Oregon National Historic Trail']
0140303588,0,Roller Skates (Puffin Newbery Library),Ruth Sawyer,1986.0,Puffin Books,http://images.amazon.com/images/P/0140303588.01.LZZZZZZZ.jpg,"The discoveries and adventures of ten-year-old Lucinda, who spends a
wonderful year exploring the New York City of the 1890&#39;s.",en,['Juvenile Fiction']
0140303642,0,Mrs. Pepperpot to the Rescue (Young Puffin Books),Alf Proysen,1988.0,Penguin USA,http://images.amazon.com/images/P/0140303642.01.LZZZZZZZ.jpg,"Helpful Mrs. Pepperpot returns in twelve more adventures in which her
ability to shrink herself proves useful.",en,"[""Children's stories, Norwegian""]"
014030410X,0,Book of Verse (Young Puffin Books),Barbara Ireson,1970.0,Puffin Books,http://images.amazon.com/images/P/014030410X.01.LZZZZZZZ.jpg,"Collection of young children&#39;s poetry by American and English
authors.",en,['American poetry']
014030438X,9,Tales of Ancient Egypt (Puffin Books),Roger Lancelyn Green,1970.0,Puffin Books,http://images.amazon.com/images/P/014030438X.01.LZZZZZZZ.jpg,"A collection of the myths, the folk tales, and the legends of ancient
Egypt. Copyright © Libri GmbH. All rights reserved.",en,['Egypt']
0140304770,10,A Wizard of Earthsea (Pelican Books),Ursula K. Le Guin,1971.0,Penguin Books,http://images.amazon.com/images/P/0140304770.01.LZZZZZZZ.jpg,"The first book of Earthsea is a tale of wizards, dragons and
terrifying shadows.",en,['Juvenile Fiction']
0140305084,0,The White Horse Gang (Puffin books),Nina Bawden,1972.0,Puffin Books,http://images.amazon.com/images/P/0140305084.01.LZZZZZZZ.jpg,"Sam, his cousin Rose, and lonely Abe Turner explore the haunted Gibbet
Wood and get into mischief and adventure.",en,"[""Children's stories""]"
0140305351,0,Islands in the sky (Puffin books),Arthur Charles Clarke,1972.0,Penguin,http://images.amazon.com/images/P/0140305351.01.LZZZZZZZ.jpg,"When space-mad Roy Malcolm wins a television contest, his prize is a
trip to the Inner space station beyond the Earth.",en,"[""Children's stories""]"
0140305386,0,Mrs. Pepperpot in the Magic Wood (Young Puffin Books),Alf Proysen,1988.0,Penguin USA,http://images.amazon.com/images/P/0140305386.01.LZZZZZZZ.jpg,"Nine adventures of the woman who, at the most inconvenient moments,
shrinks to the size of a pepperpot.",en,"[""Children's stories, Norwegian""]"
014030665X,0,A Book of Bosh (Puffin Books),Edward Lear,1975.0,Puffin Books,http://images.amazon.com/images/P/014030665X.01.LZZZZZZZ.jpg,"In putting together these Learical Lyrics and Puffles of Prose, Brian
Alderson has tried to show something of the range of bosh (stuff and
nonsense) that Edward Lear actually produced.",en,['English wit and humor']
0140307524,0,About Teddy Robinson (Young Puffin),Robinson,1999.0,Puffin Books,http://images.amazon.com/images/P/0140307524.01.LZZZZZZZ.jpg,"Deborah&#39;s cuddly teddy bear spends a night in the garden, goes to
the hospital, becomes lost in the draper&#39;s shop, and meets Father
Christmas.",en,"[""Children's stories, English""]"
0140309136,0,Pippi Goes Aboard (Puffin Books),Astrid Lindgren,1977.0,Puffin Books,http://images.amazon.com/images/P/0140309136.01.LZZZZZZZ.jpg,"First published: O.U.P., 1956.",en,"[""Children's literature, Swedish""]"
014030925X,5,The Paper Airplane Book,Seymour Simon,1976.0,Puffin Books,http://images.amazon.com/images/P/014030925X.01.LZZZZZZZ.jpg,"Step-by-step instructions for making paper airplanes with suggestions
for experimenting with them.",en,['Juvenile Nonfiction']
0140309268,0,Secret of the Andes (Puffin Book),Ann Nolan Clark,1976.0,Puffin Books,http://images.amazon.com/images/P/0140309268.01.LZZZZZZZ.jpg,"An Indian boy who tends llamas in a hidden valley in Peru learns the
traditions and secrets of his Inca ancestors.",en,['Juvenile Fiction']
