isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0000913154,8,The Way Things Work: An Illustrated Encyclopedia of Technology,C. van Amerongen (translator),1967.0,Simon & Schuster,http://images.amazon.com/images/P/0000913154.01.LZZZZZZZ.jpg,"Scientific principles, inventions, and chemical, mechanical, and
industrial processes are explained for the general reader with the
help of drawings and diagrams",en,['Technology & Engineering']
0001055607,8,Cereus Blooms At Night,Shani Mootoo,1994.0,Fairmount Books Ltd Remainders,http://images.amazon.com/images/P/0001055607.01.LZZZZZZZ.jpg,"When Mala, old and notoriously crazy, arrives at the Paradise Alms
House, she is placed in the tender care of Tyler, a gay male nurse,
and an extraordinary relationship begins to develop.",en,['Adult child abuse victims']
0001061127,8,CHESS FOR YOUNG BEGINNERS,William T. McLeod,1975.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001061127.01.LZZZZZZZ.jpg,A step by step guide to playing chess,en,['Chess']
0001374362,9,When It's Time for Bed (Collins Baby & Toddler S.),Nick Butterworth,1994.0,Collins,http://images.amazon.com/images/P/0001374362.01.LZZZZZZZ.jpg,Shows baby and his animal friends preparing for bedtime. 1-2 yrs.,en,['Animals']
0001711253,0,The Big Honey Hunt,Stan Berenstein,1942.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001711253.01.LZZZZZZZ.jpg,"Father Bear takes Small Bear on a honey hunt. After many problems,
they go to their local store.",en,['Bears']
000171421X,0,It's Not Easy Being a Bunny (A Beginner Book),Marilyn Sadler,1984.0,HarperCollins Publishers,http://images.amazon.com/images/P/000171421X.01.LZZZZZZZ.jpg,P.J. Funnybunny did not like being a bunny.,en,['Animals']
000184251X,0,February's Road,John Verney,1987.0,HarperCollins Publishers,http://images.amazon.com/images/P/000184251X.01.LZZZZZZZ.jpg,"The new road is to go right through the Callendar family&#39;s garden
and February Callendar, while trying to change the Ministry&#39;s
plans, discovers some very fishy things going on.",en,"[""Children's stories, English""]"
0001850121,8,A place called Lantern Light,Ellen Miller,1975.0,Collins,http://images.amazon.com/images/P/0001850121.01.LZZZZZZZ.jpg,They were nearing the end of their long journey.,en,"[""Children's stories""]"
0001856367,9,The Collins Book of Ballet and Dance,Jean Ure,1996.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001856367.01.LZZZZZZZ.jpg,"A collection of short stories about young people dedicated to the
world of dance___",en,['Ballet']
0001935968,10,The Brambly Hedge Treasury,Jill Barklem,1991.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001935968.01.LZZZZZZZ.jpg,For this is the home of mice of Brambly Hills&quot;--Back cover.,en,['Country life']
0001981307,9,The Cross Rabbit (Percy's Park),Nick Butterworth,1994.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001981307.01.LZZZZZZZ.jpg,"An old rabbit&#39;s sleep is disturbed by a group of playing mice and
the rabbit is rather cross.",en,['Mice']
0001981625,8,The Sea of Tranquility,Mark Haddon,1996.0,HarperCollins Publishers,http://images.amazon.com/images/P/0001981625.01.LZZZZZZZ.jpg,"The author relates his childhood love for the moon and his excitement
when man finally walked on the moon.",en,"[""Children's stories""]"
0002000202,0,"Black Berry, Sweet Juice: On Being Black and White in Canada",Lawrence Hill,2001.0,HarperFlamingo Canada,http://images.amazon.com/images/P/0002000202.01.LZZZZZZZ.jpg,"Interspersed with slices of his personal experiences, fascinating
familyhistory and the experiences of thirty-six other Canadians of
mixed raceinterviewed for this book, BLACK BERRY, SWEET JUICE also
examinescontemporary racial issues in ...",en,"['Authors, Canadian (English) 20th century Biography']"
