isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0764228943,10,"A Tapestry of Hope (Peterson, Tracie. Lights of Lowell, 1.)",Tracie Peterson,2004.0,Bethany House Publishers,http://images.amazon.com/images/P/0764228943.01.LZZZZZZZ.jpg,"Lights of Lowell book 1. Tapestry of Hope weaves together the
heartrending and hope-building stories of two young women. Jasmine
Wainwright is the sheltered daughter of a Mississippi plantation
owner.",en,['Fiction']
0764300369,10,54 3-D Scroll Saw Patterns,Frank Pozsgai,2000.0,Schiffer Publishing,http://images.amazon.com/images/P/0764300369.01.LZZZZZZZ.jpg,"Billedværk i sort/hvide fotografier om smedejernskunst, dets historie,
teknik og former, om udviklingen af håndværket og kunsten fra
1100-1900 tallet og om brugen i forbindelse med alle hånde bygninger
fra slotte, boliger til ...",da,['Ferronnerie - Europe - Histoire']
0764300385,10,"A Collector's Handbook of Miniature Perfume Bottles: Minis, Mates and More",Jeri Lyn Ringblum,2000.0,Schiffer Publishing,http://images.amazon.com/images/P/0764300385.01.LZZZZZZZ.jpg,"A convenient handbook with hundreds of clear color photographs and
fascinating stories about each fragrance.",en,['Crafts & Hobbies']
0764300822,10,Button Button: Identification and Price Guide,Peggy Ann Osborne,2000.0,Schiffer Publishing,http://images.amazon.com/images/P/0764300822.01.LZZZZZZZ.jpg,"A concise, colorful, easy-to-use guide to the wonderful world of
buttons, it provides collectors with the information they need to
identify the age, material, and desirability of nearly every button,
and provides a price guide to help ...",en,['Antiques & Collectibles']
0764301500,10,Commercial Perfume Bottles,Jacquelyne Jones-North,1996.0,Schiffer Publishing,http://images.amazon.com/images/P/0764301500.01.LZZZZZZZ.jpg,"Over 800 beautiful color photos of perfume bottles ranging from the
exquisite flacons of Lalique, Baccarat, Viard, Brosse, Jollivet,
Cristal Nancy, Wheaton, C.K. Brenda, and Lucien Guillard to figural
bottles and dimestore novelties.",en,['Antiques & Collectibles']
0764305328,10,Glass in Jewelry : Hidden Artistry in Glass,Sibylle Jargstorf,1998.0,Schiffer Publishing,http://images.amazon.com/images/P/0764305328.01.LZZZZZZZ.jpg,"A great variety of beautiful glass jewelry and glass beads identified
and illustrated in over 400 color photos.",en,['Antiques & Collectibles']
0764306537,5,"\Ghosts: Washington Revisited\"" (The Ghostlore of the Nation's Capital)""",John Alexander,1998.0,Schiffer Publishing,http://images.amazon.com/images/P/0764306537.01.LZZZZZZZ.jpg,"&quot; Here is a collection of tales and over 180 images of famous
personalities who revisit the White House, the U.S. Capitol, and other
Virginia, Maryland and Washington buildings and homes said to be
haunted.",en,"['Body, Mind & Spirit']"
0764309331,10,"Teddy Bears and Stuffed Animals: Herman Teddy Originals, 1913-1998 (Schiffer Book for Collectors)",Milton R. Friedberg,1999.0,Schiffer Publishing,http://images.amazon.com/images/P/0764309331.01.LZZZZZZZ.jpg,"The book includes the company&#39;s history, comprehensive list with
model numbers, names, descriptions, logos, values, information on
determining age, index, and bibliography. An outstanding reference for
all Teddy Bear enthusiasts.",en,['Antiques & Collectibles']
0764312235,7,Plastic Jewelry,Lyngerda Kelley,2000.0,Schiffer Pub Ltd,http://images.amazon.com/images/P/0764312235.01.LZZZZZZZ.jpg,"Here is the story of plastic jewelry from the 1920s to the present,
including natural tortoiseshell and horn as well as synthetic
celluloid, Bakelite, Lucite, and more in a variety of styles.",en,['Antiques & Collectibles']
0764312820,9,The Unofficial Guide to Japanese and International Transformers (Schiffer Book for Collectors),J. E. Alvarez,2001.0,Schiffer Publishing,http://images.amazon.com/images/P/0764312820.01.LZZZZZZZ.jpg,"This in-depth guide delves into such Japanese toy lines as the
Headmasters, Masterforce, Zone, and Return of Convoy, European figures
including the Turbomasters, Predators, and the Obliterators, and the
early Pre-Transformers like the ...",en,['Antiques & Collectibles']
