isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0879053011,0,Wilderness Essays (Peregrine Smith Literary Naturalists),John Muir,1989.0,Peregrine Smith Books,http://images.amazon.com/images/P/0879053011.01.LZZZZZZZ.jpg,"A collection of essays recounts Muir&#39;s exploration of the
wilderness of the American West",en,['Nature']
0879053321,0,The Best of the West: New Short Stories from the Wide Side of the Missouri,James Thomas,1988.0,Gibbs Smith,http://images.amazon.com/images/P/0879053321.01.LZZZZZZZ.jpg,"Twenty stories portray the problems of modern life in the Western
states",en,['Fiction']
0879054700,8,Don't Squat With Yer Spurs on: A Cowboys Guide to Life,Texas Bix Bender,1992.0,Peregrine Smith Books,http://images.amazon.com/images/P/0879054700.01.LZZZZZZZ.jpg,"Says the SOUTH BEND TRIBUNE, &quot;This book is worthy of a book
rustler.",en,['Humor']
0879054883,0,The Night Before Christmas in Chicago (Night Before Christmas (Gibbs)),Not Applicable (Na ),1993.0,Gibbs Smith Publishers,http://images.amazon.com/images/P/0879054883.01.LZZZZZZZ.jpg,"Santa&#39;s deliveries are delayed by fierce winds and traffic in
Chicago until somone special helps him out.",en,['Juvenile Fiction']
0879055545,7,Never Ask a Man the Size of His Spread: A Cowgirl's Guide to Life,Gladiola Montana,1993.0,Gibbs Smith Publishers,http://images.amazon.com/images/P/0879055545.01.LZZZZZZZ.jpg,"Henry Ward Beecher said &quot;the common sense of one century is the
common sense of the next.",en,['Humor']
0879055596,0,Living Richly in an Age of Limits,Bill Devall,1993.0,Gibbs Smith,http://images.amazon.com/images/P/0879055596.01.LZZZZZZZ.jpg,"Devall&#39;s first book, Deep Ecology, explained the deep, long-range
ecology philosophy. His next book, Simple in Means, Rich in Ends,
discussed suggestions for putting the philosophy to work.",en,['Social Science']
0879055952,0,Just One Fool Thing After Another: A Cowfolks' Guide to Romance,Texas Bix Bender,1994.0,Gibbs Smith Publishers,http://images.amazon.com/images/P/0879055952.01.LZZZZZZZ.jpg,"Swagger through love with a ranchful of romantic advice in this
western version of those bestselling little instruction books.",en,['Humor']
0879056622,0,The Big Book of Bowling,Howard Stallings,1995.0,Gibbs Smith,http://images.amazon.com/images/P/0879056622.01.LZZZZZZZ.jpg,"Contains scores of humorous tales, 100 striking photographs from the
Bowling Hall of Fame and private collections, statistics, trivia.
Features trophies, clothing, and kitsch that capture the history of
the sport.",en,['Sports & Recreation']
0879056886,0,Blues Legends,Charles K. Cowdery,1995.0,Gibbs Smith,http://images.amazon.com/images/P/0879056886.01.LZZZZZZZ.jpg,"When you look at all the stories -- from the blues&#39; slavery
beginnings through the strains that sparked rock and roll. Then hear
it smoldering in the 10-song accompanying CD designed to heighten this
unequaled collection.",en,['Biography & Autobiography']
0879056959,8,When I Am an Old Coot,Roy English,1995.0,Gibbs Smith Publishers,http://images.amazon.com/images/P/0879056959.01.LZZZZZZZ.jpg,"This book isn&#39;t just for aging codgers--it&#39;s for free spirits
of all persuasions who intend to nurture eccentricities and celebrate
life with good humor.",en,['Humor']
