isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0590847791,10,I'm a Caterpillar (Hello Reader! Science. Level 1),Jean Marzollo,1997.0,Cartwheel Books,http://images.amazon.com/images/P/0590847791.01.LZZZZZZZ.jpg,"Provides a simple explanation of what happens as a caterpillar changes
into a butterfly--from the caterpillar&#39;s point of view.",en,['Juvenile Nonfiction']
0590847880,8,Poppleton and Friends,Cynthia Rylant,1998.0,Scholastic,http://images.amazon.com/images/P/0590847880.01.LZZZZZZZ.jpg,"Three charming stories of Poppleton and his wonderful friends who
spend a day with him at the beach and give him sound advice when he
needs it most.",en,['Juvenile Fiction']
0590848410,8,Poppleton Has Fun (Poppleton),Cynthia Rylant,2000.0,Scholastic,http://images.amazon.com/images/P/0590848410.01.LZZZZZZZ.jpg,"Poppleton goes to a movie alone, makes a quilt with his friends, and
ends up eating a banana split instead of taking a bath. The Poppleton
books are an excellent way to help children learn to read.",en,['Animals']
0590848445,0,Poppleton Forever,Cynthia Rylant,1998.0,Scholastic,http://images.amazon.com/images/P/0590848445.01.LZZZZZZZ.jpg,"Poppleton the pig plants a dogwood tree, gets a cold, and tries to
hang wallpaper with the not very helpful aid of his friends.",en,['Juvenile Fiction']
0590848453,0,Poppleton Everyday,Cynthia Rylant,1998.0,Scholastic,http://images.amazon.com/images/P/0590848453.01.LZZZZZZZ.jpg,"Poppleton the pig goes stargazing, tries out a new bed before he buys
it, and goes sailing for the first time.",en,['Juvenile Fiction']
0590848623,0,A Very Special Kwanzaa,Debbi Chocolate,1996.0,Scholastic,http://images.amazon.com/images/P/0590848623.01.LZZZZZZZ.jpg,"Recalling how the kids made fun of him last year, Charlie is reluctant
to participate in this year&#39;s Kwanzaa Festival at school, until he
remembers the deeper meaning of Kwanzaa.",en,['Juvenile Fiction']
0590849026,5,"Angels Don't Know Karate (Adventures of the Bailey School Kids, 23)",Debbie Dadey,1996.0,Scholastic,http://images.amazon.com/images/P/0590849026.01.LZZZZZZZ.jpg,"Miss Angela Michaels, the new karate teacher in Bailey City, who is
also the school crossing guard, is so kind and generous that Melody
becomes convinced that she is a guardian angel. Original.",en,['Juvenile Fiction']
0590849042,0,"Dragons Don't Cook Pizza (Adventures of the Bailey School Kids, 24)",Debbie Dadey,1997.0,Scholastic,http://images.amazon.com/images/P/0590849042.01.LZZZZZZZ.jpg,"Visiting the new Jewel&#39;s Pizza Castle, the kids from Mrs.
Jeeper&#39;s class begin to suspect that a fire-breathing dragon is
doing the cooking.",en,['Juvenile Fiction']
0590849069,0,Mermaids Don't Run Track (Adventures of the Bailey School Kids (Paperback)),Debbie Dadey,1997.0,Little Apple,http://images.amazon.com/images/P/0590849069.01.LZZZZZZZ.jpg,"The Bailey School Kids set out to uncover the secrets of their
beautiful, singing track coach, who bears a striking resemblance to a
mermaid whom the children have seen in a picture. Original.",en,['Juvenile Fiction']
0590849093,10,"The Great Race (Hello Reader! (DO NOT USE, please choose level and binding))",David M. McPhail,1997.0,Cartwheel Books,http://images.amazon.com/images/P/0590849093.01.LZZZZZZZ.jpg,The animals on the farm want to have a race. Who will win?,en,['Juvenile Fiction']
0590849107,8,"The Day the Sheep Showed Up (Hello Reader!, Level 2)",David M. McPhail,1998.0,Cartwheel Books,http://images.amazon.com/images/P/0590849107.01.LZZZZZZZ.jpg,"In a humorous easy reader, barnyard animals discover how they are
alike and how they are different from a new animal on the farm.
Original.",en,['Juvenile Fiction']
0590852930,0,Bruce Coville's Book of Aliens II: More Tales to Warp Your Mind,Bruce Coville,1996.0,Scholastic,http://images.amazon.com/images/P/0590852930.01.LZZZZZZZ.jpg,"A collection of tales filled with fearsome and friendly aliens
includes the stories of a boy whose life is permanently changed, an
alien-summoning pay phone, and a band of breakfast aliens.",en,['Aliens']
0590852949,9,"Bruce Coville's Book of Ghosts: More Tales to Haunt You (Bruce Coville's Book of Ghosts , No 2)",Bruce Coville,1997.0,Scholastic,http://images.amazon.com/images/P/0590852949.01.LZZZZZZZ.jpg,"A boy&#39;s ghost takes over the body of a professional ball player, a
librarian does some ghostbusting, and a sloppy boy is haunted by a
ghost pig",en,['Juvenile Fiction']
0590852957,0,"Bruce Coville's Book of Nightmares II: More Tales to Make You Scream (Bruce Coville's Book of Nightmares , No 2)",Bruce Coville,1997.0,Scholastic,http://images.amazon.com/images/P/0590852957.01.LZZZZZZZ.jpg,"Tells the stories of a kid who fears the number 5, a boy who falls
apart after his parents&#39; divorce, and some kids who wish it would
snow forever",en,"[""Children's stories, American.""]"
0590852965,10,Bruce Coville's Book of Spine Tinglers II: More Tales to Make You Shiver (Coville Anthologies),Bruce Coville,1997.0,Apple,http://images.amazon.com/images/P/0590852965.01.LZZZZZZZ.jpg,"This collection of short stories includes tales from Bruce Coville and
a variety of authors.",en,"[""Children's stories, American.""]"
0590852973,0,Bruce Coville's Book of Magic II: More Tales to Cast a Spell on You,Lisa Meltzer,1997.0,Scholastic,http://images.amazon.com/images/P/0590852973.01.LZZZZZZZ.jpg,"Tells the stories of a pair of magic dancing shoes, a boy and his dad
who become custodians of a unicorn, and a family that tampers with the
unknown",en,"[""Children's stories, American.""]"
0590853015,10,The Chicken Doesn't Skate,Gordon Korman,1998.0,Hyperion Books for Children,http://images.amazon.com/images/P/0590853015.01.LZZZZZZZ.jpg,"Wild things happen at the South Middle School when Milo&#39;s science
project, Henrietta the chicken, becomes the hockey team&#39;s mascot
and their only chance for a winning season.",en,['Juvenile Fiction']
0590862316,10,"The Case of the Fun House Mystery (The Adventures of Mary-Kate & Ashley, 3)",Nancy Krulik,1996.0,Scholastic,http://images.amazon.com/images/P/0590862316.01.LZZZZZZZ.jpg,"When an evil monster preys upon the fun house at the Tons of Fun
amusement park, turning the special effects noises into scary monster
noises, employees Madame Zelda, Ferris Wheel Fred, and Carousel Cal
hire the Trenchcoat Twins. Original.",en,['Amusement parks']
059086369X,9,The Case of the Sea World Adventure (The Adventures of Mary Kate and Ashley),Cathy East Dubowski,1996.0,Scholastic,http://images.amazon.com/images/P/059086369X.01.LZZZZZZZ.jpg,"Super-duper pint-sized snoopers Mary-Kate and Ashley pursue a second
mystery aboard a vacation cruise ship when their father&#39;s top-
secret computer disk, which contains a dolphin communicator program,
is stolen. Original.",en,['Detective and mystery stories']
0590863703,6,"The Case of the Mystery Cruise (The Adventures of Mary Kate and Ashley, No 2)",Carol Thompson,1996.0,Scholastic,http://images.amazon.com/images/P/0590863703.01.LZZZZZZZ.jpg,"While on an ocean cruise with their family, Mary-Kate and Ashley try
to discover who stole their father&#39;s top-secret computer disk.",en,"[""Children's stories""]"
