isbn,rating,book_title,book_author,year_of_publication,publisher,img_l,Summary,Language,Category
0517121905,10,Three Complete Novels/September/Voices in Summer/the Carousel,Rosamunde Pilcher,1995.0,Wings,http://images.amazon.com/images/P/0517121905.01.LZZZZZZZ.jpg,"A collection of novels by a New York Times best-selling author
features themes of love, friendship, family, heartbreak, and betrayal,
and includes September, Voices in Summer, and The Carousel.",en,['Fiction']
0517121964,0,Three Great Novels of the Civil War/the Killer Angels/Andersonville/the Red Badge of Courage,Marc Jaffe,1994.0,Gramercy Books,http://images.amazon.com/images/P/0517121964.01.LZZZZZZZ.jpg,"A moving collection of novels that explore the powers, passions, and
politics of the War Between the States. Includes Michael Shaara&#39;s
Killer Angels, Stephen Crane&#39;s Red Badge of Courage, and Mackinley
Kantor&#39;s Andersonville.",en,['Fiction']
051712226X,10,"10,000 Garden Questions Answered by 20 Experts",Marjorie J. Dietz,1994.0,Wings,http://images.amazon.com/images/P/051712226X.01.LZZZZZZZ.jpg,"A concise sourcebook combines the knowledge of thirty noted
horticulturalists, offering information about soils, fertilizers,
planning, landscaping, growing techniques, varieties of plants, and
more.",en,['Gardening']
0517122332,0,Piers Anthony: Three Complete Xanth Novels/a Spell for Chameleon/the Source of Magic/Castle Roogna,Piers Anthony,1995.0,Outlet Books Company,http://images.amazon.com/images/P/0517122332.01.LZZZZZZZ.jpg,"Combining the three volumes from the popular Xanth series, a
collector&#39;s edition includes A Spell for Chameleon, The Source of
Magic, and Castle Roogna.",en,['Fiction']
0517122359,8,Craig Claiborne's the New New York Times Cookbook,Craig Claiborne,1995.0,Random House Value Pub,http://images.amazon.com/images/P/0517122359.01.LZZZZZZZ.jpg,"Reflecting the revolutionary changes that have occurred in American
kitchens, more than one thousand regional, ethnic, and haute recipes
are accompanied by black-and-white drawings throughout.",en,"['Cookery, American.']"
0517122456,0,Irish Tales of Terror,Ray Bradbury,1994.0,Outlet Books Company,http://images.amazon.com/images/P/0517122456.01.LZZZZZZZ.jpg,"Twenty-two bewitching stories of Irish magic and mysteryby James
Joyce, Ray Bradbury, H.P. Lovecraft, Daniel DeFoe, W.B. Keats, Oscar
Wilde and others.",en,['English fiction']
0517122979,0,Wisdom of Confucius,EPIPHANIUS WILSON,1994.0,Testament,http://images.amazon.com/images/P/0517122979.01.LZZZZZZZ.jpg,"Insightful compilation of the teachings of the great Chinese
philosopher and social reformer. Filled with insights hit the modern
reader.",en,['Religion']
051712310X,0,Three Complete Novels: Children of the Thunder/the Tides of Time/the Crucible of Time,John Brunner,1995.0,Random House Value Publishing,http://images.amazon.com/images/P/051712310X.01.LZZZZZZZ.jpg,"Three works by an award-winning science fiction novelist include The
Crucible of Time, Children of the Thunder, and The Tides of Time.",en,['Science fiction']
0517123150,7,"Mary Higgins Clark: Three Complete Novels : Where Are the Children? a Stranger Is Watching, the Cradle Will Fall",Mary Higgins Clark,1995.0,Wings,http://images.amazon.com/images/P/0517123150.01.LZZZZZZZ.jpg,"A collection of works by a popular suspense author presents such best-
sellers as The Cradle Will Fall, A Stranger is Watching, and Where are
the Children?",en,['Fiction']
0517123207,10,Origin of Species,CHARLES DARWIN,1995.0,Gramercy,http://images.amazon.com/images/P/0517123207.01.LZZZZZZZ.jpg,"Upon its publication, the book began to transform attitudes about
society and religion, and was soon used to justify the philosophies of
communists, socialists, capitalists, and even Germany&#39;s National
Socialists.",en,['Science']
